,Food,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Calorie per gram,protein fat ratio
381,"Yogurt, NS as to type of milk or flavor",100,63.11,5.25,1.55,1.0,0.0,7.04,Yogurt,0.6311,3.3870967741935485
382,"Yogurt, NS as to type of milk, plain",100,63.11,5.25,1.55,1.0,0.0,7.04,Yogurt,0.6311,3.3870967741935485
383,"Yogurt, whole milk, plain",100,61.77,3.47,3.25,2.096,0.0,4.66,Yogurt,0.6177,1.0676923076923077
384,"Yogurt, low fat milk, plain",100,63.11,5.25,1.55,1.0,0.0,7.04,Yogurt,0.6311,3.3870967741935485
385,"Yogurt, nonfat milk, plain",100,55.260000000000005,5.73,0.18,0.116,0.0,7.68,Yogurt,0.5526000000000001,31.833333333333336
386,"Yogurt, Greek, NS as to type of milk, plain",100,72.84,9.95,1.92,1.23,0.0,3.94,Yogurt,0.7284,5.182291666666666
387,"Yogurt, Greek, whole milk, plain",100,96.92,9.0,5.0,2.395,0.0,3.98,Yogurt,0.9692000000000001,1.8
388,"Yogurt, Greek, low fat milk, plain",100,72.84,9.95,1.92,1.23,0.0,3.94,Yogurt,0.7284,5.182291666666666
389,"Yogurt, Greek, nonfat milk, plain",100,59.09,10.3,0.37,0.108,0.0,3.64,Yogurt,0.5909,27.83783783783784
390,"Yogurt, NS as to type of milk, fruit",100,88.81,4.66,1.37,0.881,0.1,14.46,Yogurt,0.8881,3.401459854014598
391,"Yogurt, whole milk, fruit",100,87.67,3.1,2.87,1.845,0.1,12.36,Yogurt,0.8767,1.0801393728222997
392,"Yogurt, low fat milk, fruit",100,88.81,4.66,1.37,0.881,0.1,14.46,Yogurt,0.8881,3.401459854014598
393,"Yogurt, nonfat milk, fruit",100,81.97,5.09,0.17,0.103,0.1,15.02,Yogurt,0.8197,29.941176470588232
394,"Yogurt, Greek, NS as to type of milk, fruit",100,104.97,8.17,2.57,1.599,1.0,12.29,Yogurt,1.0497,3.1789883268482493
395,"Yogurt, Greek, whole milk, fruit",100,105.47999999999999,7.33,3.0,1.599,0.0,12.29,Yogurt,1.0548,2.4433333333333334
396,"Yogurt, Greek, low fat milk, fruit",100,104.97,8.17,2.57,1.599,1.0,12.29,Yogurt,1.0497,3.1789883268482493
397,"Yogurt, Greek, nonfat milk, fruit",100,82.39,8.06,0.15,0.103,0.6,12.2,Yogurt,0.8239,53.73333333333334
398,"Yogurt, NS as to type of milk, flavors other than fruit",100,73.23,5.09,1.51,0.97,0.0,9.82,Yogurt,0.7323000000000001,3.3708609271523176
399,"Yogurt, whole milk, flavors other than fruit",100,78.74000000000001,3.3,3.1,1.991,0.0,9.41,Yogurt,0.7874000000000001,1.064516129032258
400,"Yogurt, low fat milk, flavors other than fruit",100,73.23,5.09,1.51,0.97,0.0,9.82,Yogurt,0.7323000000000001,3.3708609271523176
401,"Yogurt, nonfat milk, flavors other than fruit",100,65.62,5.56,0.18,0.113,0.0,10.44,Yogurt,0.6562,30.88888888888889
402,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",100,95.22,8.64,2.5,1.465,0.0,9.54,Yogurt,0.9521999999999999,3.4560000000000004
403,"Yogurt, Greek, whole milk, flavors other than fruit",100,111.24000000000001,8.47,4.44,2.674,0.0,9.35,Yogurt,1.1124,1.9076576576576576
404,"Yogurt, Greek, low fat milk, flavors other than fruit",100,95.22,8.64,2.5,1.465,0.0,9.54,Yogurt,0.9521999999999999,3.4560000000000004
405,"Yogurt, Greek, nonfat milk, flavors other than fruit",100,77.66,8.64,0.18,0.133,0.5,10.37,Yogurt,0.7766,48.00000000000001
406,"Yogurt, Greek, with oats",100,163.73000000000002,8.9,4.29,1.478,1.9,22.38,Yogurt,1.6373000000000002,2.0745920745920747
407,"Yogurt, liquid",100,71.89,3.71,1.09,0.701,0.1,11.81,Yogurt,0.7189,3.403669724770642
408,"Chipotle dip, yogurt based",100,188.95,7.93,15.99,3.219,0.0,3.33,Chipotle dip,1.8895,0.4959349593495935
409,"Dill dip, yogurt based",100,191.95000000000002,8.16,16.03,3.232,0.3,3.76,Dill dip,1.9195000000000002,0.5090455396132252
410,"Onion dip, yogurt based",100,159.48,6.82,12.88,2.713,0.2,4.07,Onion dip,1.5948,0.5295031055900621
411,"Ranch dip, yogurt based",100,195.25000000000003,8.48,16.09,3.267,0.3,4.13,Ranch dip,1.9525000000000003,0.5270354257302673
412,"Spinach dip, yogurt based",100,158.94,7.02,12.94,2.721,0.3,3.6,Spinach dip,1.5894,0.5425038639876353
413,Tzatziki dip,100,93.99,5.35,6.31,1.838,0.2,3.95,Tzatziki dip,0.9399,0.8478605388272583
414,"Vegetable dip, yogurt based",100,191.95000000000002,8.16,16.03,3.232,0.3,3.76,Vegetable dip,1.9195000000000002,0.5090455396132252
415,"Yogurt parfait, low fat, with fruit",100,85.97,3.36,1.01,0.525,1.1,15.86,Yogurt parfait,0.8597,3.3267326732673266
416,"Frozen yogurt, NFS",100,130.8,3.0,3.6,2.326,0.0,21.6,Frozen yogurt,1.308,0.8333333333333333
417,"Frozen yogurt, vanilla",100,130.8,3.0,3.6,2.326,0.0,21.6,Frozen yogurt,1.308,0.8333333333333333
418,"Frozen yogurt, chocolate",100,130.8,3.0,3.6,2.272,2.3,21.6,Frozen yogurt,1.308,0.8333333333333333
419,"Frozen yogurt, soft serve, vanilla",100,163.2,4.0,5.6,3.42,0.0,24.2,Frozen yogurt,1.632,0.7142857142857143
420,"Frozen yogurt, soft serve, chocolate",100,168.56,4.31,5.76,3.513,0.7,24.87,Frozen yogurt,1.6856,0.7482638888888888
421,Frozen yogurt sandwich,100,209.37,3.9,6.25,2.805,0.8,34.38,Frozen yogurt sandwich,2.0937,0.624
422,"Frozen yogurt bar, vanilla",100,130.8,3.0,3.6,2.326,0.0,21.6,Frozen yogurt bar,1.308,0.8333333333333333
423,"Frozen yogurt bar, chocolate",100,130.8,3.0,3.6,2.272,2.3,21.6,Frozen yogurt bar,1.308,0.8333333333333333
424,"Frozen yogurt cone, chocolate",100,141.97,3.2,3.73,2.23,2.3,23.9,Frozen yogurt cone,1.4197,0.8579088471849866
425,"Frozen yogurt cone, vanilla",100,141.97,3.2,3.73,2.282,0.1,23.9,Frozen yogurt cone,1.4197,0.8579088471849866
426,"Frozen yogurt cone, vanilla, waffle cone",100,146.77,3.29,3.61,2.223,0.1,25.28,Frozen yogurt cone,1.4677,0.9113573407202217
427,"Frozen yogurt cone, chocolate, waffle cone",100,146.77,3.29,3.61,2.172,2.3,25.28,Frozen yogurt cone,1.4677,0.9113573407202217
428,"Yogurt, whole milk, baby food",100,61.77,3.47,3.25,2.096,0.0,4.66,Yogurt,0.6177,1.0676923076923077
429,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",100,98.25,3.4,3.53,1.84,0.3,13.22,Yogurt,0.9825,0.9631728045325779
430,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",100,91.92,3.05,3.08,1.582,0.6,13.0,Yogurt,0.9192,0.9902597402597402
431,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",100,98.25,3.4,3.53,1.84,0.3,13.22,Yogurt,0.9825,0.9631728045325779
432,"Chocolate milk, NFS",100,67.4,3.39,0.0,0.0,0.0,13.46,Chocolate milk,0.674,inf
433,"Chocolate milk, ready to drink, whole",100,84.55,3.17,3.39,2.104,0.8,10.34,Chocolate milk,0.8454999999999999,0.9351032448377581
434,"Chocolate milk, ready to drink, reduced fat",100,77.58,2.99,1.9,1.177,0.7,12.13,Chocolate milk,0.7757999999999999,1.573684210526316
435,"Chocolate milk, ready to drink, fat free",100,67.4,3.39,0.0,0.0,0.0,13.46,Chocolate milk,0.674,inf
436,"Chocolate milk, ready to drink, low fat",100,64.43,3.46,1.11,0.616,0.1,10.15,Chocolate milk,0.6443000000000001,3.117117117117117
437,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",100,53.8,3.43,1.04,0.616,0.0,7.68,Chocolate milk,0.5379999999999999,3.298076923076923
438,"Chocolate milk, ready to drink, low fat (Nesquik)",100,64.43,3.46,1.11,0.616,0.1,10.15,Chocolate milk,0.6443000000000001,3.117117117117117
439,"Chocolate milk, ready to drink, fat free (Nesquik)",100,67.4,3.39,0.0,0.0,0.0,13.46,Chocolate milk,0.674,inf
440,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",100,64.43,3.46,1.11,0.616,0.1,10.15,Chocolate milk,0.6443000000000001,3.117117117117117
