,Food,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Calorie per gram,protein fat ratio
895,"Cheese spread, American or Cheddar cheese base",100,291.63,16.41,21.23,13.327,0.0,8.73,Cheese spread,2.9163,0.77296278850683
896,"Cheese spread, Swiss cheese base",100,291.63,16.41,21.23,13.327,0.0,8.73,Cheese spread,2.9163,0.77296278850683
897,"Cheese spread, cream cheese, regular",100,299.8,7.1,28.6,18.02,0.0,3.5,Cheese spread,2.998,0.24825174825174823
898,"Cheese spread, cream cheese, light",100,201.44,7.85,15.28,9.098,0.0,8.13,Cheese spread,2.0144,0.5137434554973822
899,"Cheese spread, pressurized can",100,291.63,16.41,21.23,13.327,0.0,8.73,Cheese spread,2.9163,0.77296278850683
900,Imitation cheese,100,392.0,25.0,32.0,5.815,0.0,1.0,Imitation cheese,3.92,0.78125
901,"Cheese, cottage cheese, with gelatin dessert",100,80.56,6.55,2.32,0.925,0.0,8.37,Cheese,0.8056,2.8232758620689657
902,"Cheese, cottage cheese, with gelatin dessert and fruit",100,74.01,5.11,1.77,0.703,0.4,9.41,Cheese,0.7401000000000001,2.8870056497175143
903,"Cheese, cottage cheese, with gelatin dessert and vegetables",100,81.57,7.71,2.85,1.136,0.2,6.27,Cheese,0.8157,2.705263157894737
904,Cheese ball,100,437.18000000000006,18.09,38.06,14.637,1.5,5.57,Cheese ball,4.3718,0.4753021544929059
905,Artichoke dip,100,334.56,3.65,33.12,8.274,0.9,5.47,Artichoke dip,3.3456,0.11020531400966184
906,Spinach and artichoke dip,100,333.93,4.0,33.21,8.291,1.2,4.76,Spinach and artichoke dip,3.3393,0.12044564890093346
907,Seafood dip,100,338.69,5.97,33.25,8.288,0.2,3.89,Seafood dip,3.3869,0.17954887218045112
908,Cheese dip with chili pepper,100,142.71,3.14,9.51,2.491,0.7,11.14,Cheese dip with chili pepper,1.4271,0.3301787592008412
909,Cheese dip,100,160.77999999999997,3.24,13.02,3.097,0.3,7.66,Cheese dip,1.6077999999999997,0.24884792626728114
910,Topping from cheese pizza,100,229.95,16.86,14.67,8.024,1.0,7.62,Topping from cheese pizza,2.2995,1.149284253578732
911,Topping from vegetable pizza,100,251.57000000000002,15.59,15.61,7.622,1.9,12.18,Topping from vegetable pizza,2.5157000000000003,0.9987187700192185
912,Topping from meat pizza,100,320.04,19.19,24.52,10.647,0.7,5.65,Topping from meat pizza,3.2004,0.782626427406199
913,Topping from meat and vegetable pizza,100,299.11,17.55,22.03,9.55,1.0,7.66,Topping from meat and vegetable pizza,2.9911000000000003,0.7966409441670449
914,Cheese fondue,100,275.76,19.31,21.2,12.415,0.0,1.93,Cheese fondue,2.7576,0.9108490566037736
915,Cheese souffle,100,204.25999999999996,9.45,15.7,8.669,0.1,6.29,Cheese souffle,2.0425999999999997,0.6019108280254777
916,Welsh rarebit,100,164.35999999999999,7.49,12.12,5.377,0.1,6.33,Welsh rarebit,1.6436,0.617986798679868
917,"Cheese sandwich, NFS",100,283.49,12.17,11.61,5.807,1.4,32.58,Cheese sandwich,2.8349,1.0482342807924203
918,"Cheese sandwich, American cheese, on white bread, no spread",100,283.49,12.17,11.61,5.807,1.4,32.58,Cheese sandwich,2.8349,1.0482342807924203
919,"Cheese sandwich, American cheese, on wheat bread, no spread",100,281.23,13.33,11.83,5.748,3.2,30.36,Cheese sandwich,2.8123,1.1267962806424345
920,"Cheese sandwich, American cheese, on whole wheat bread, no spread",100,281.23,13.33,11.83,5.748,3.2,30.36,Cheese sandwich,2.8123,1.1267962806424345
921,"Cheese sandwich, Cheddar cheese, on white bread, no spread",100,325.35,15.14,16.11,8.389,1.4,29.95,Cheese sandwich,3.2535000000000003,0.9397889509621354
922,"Cheese sandwich, Cheddar cheese, on wheat bread, no spread",100,323.14,16.3,16.34,8.329,3.2,27.72,Cheese sandwich,3.2314,0.9975520195838434
923,"Cheese sandwich, Cheddar cheese, on whole wheat bread, no spread",100,323.14,16.3,16.34,8.329,3.2,27.72,Cheese sandwich,3.2314,0.9975520195838434
924,"Cheese sandwich, reduced fat American cheese, on white bread, no spread",100,255.68,12.79,7.92,4.127,1.4,33.31,Cheese sandwich,2.5568,1.6148989898989898
925,"Cheese sandwich, reduced fat American cheese, on wheat bread, no spread",100,253.38,13.95,8.14,4.068,3.2,31.08,Cheese sandwich,2.5338,1.7137592137592135
926,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, no spread",100,253.38,13.95,8.14,4.068,3.2,31.08,Cheese sandwich,2.5338,1.7137592137592135
927,"Cheese sandwich, reduced fat Cheddar cheese, on white bread, no spread",100,282.08,16.81,10.52,5.672,1.4,30.04,Cheese sandwich,2.8207999999999998,1.5979087452471483
928,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, no spread",100,279.82,17.97,10.74,5.613,3.2,27.82,Cheese sandwich,2.7982,1.6731843575418992
929,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, no spread",100,279.82,17.97,10.74,5.613,3.2,27.82,Cheese sandwich,2.7982,1.6731843575418992
930,"Cheese sandwich, American cheese, on white bread, with mayonnaise",100,331.32,10.82,19.24,6.519,1.2,28.72,Cheese sandwich,3.3132,0.5623700623700625
931,"Cheese sandwich, American cheese, on wheat bread, with mayonnaise",100,329.4,11.84,19.44,6.467,2.8,26.77,Cheese sandwich,3.2939999999999996,0.6090534979423868
932,"Cheese sandwich, American cheese, on whole wheat bread, with mayonnaise",100,329.4,11.84,19.44,6.467,2.8,26.77,Cheese sandwich,3.2939999999999996,0.6090534979423868
933,"Cheese sandwich, Cheddar cheese, on white bread, with mayonnaise",100,368.12,13.43,23.2,8.789,1.2,26.4,Cheese sandwich,3.6812,0.5788793103448276
934,"Cheese sandwich, Cheddar cheese, on wheat bread, with mayonnaise",100,366.2,14.45,23.4,8.737,2.8,24.45,Cheese sandwich,3.662,0.6175213675213675
935,"Cheese sandwich, Cheddar cheese, on whole wheat bread, with mayonnaise",100,366.2,14.45,23.4,8.737,2.8,24.45,Cheese sandwich,3.662,0.6175213675213675
936,"Cheese sandwich, reduced fat American cheese, on white bread, with mayonnaise",100,306.91999999999996,11.37,16.0,5.041,1.2,29.36,Cheese sandwich,3.0691999999999995,0.710625
937,"Cheese sandwich, reduced fat American cheese,, on wheat bread, with mayonnaise",100,304.91999999999996,12.38,16.2,4.989,2.8,27.4,Cheese sandwich,3.0491999999999995,0.7641975308641976
938,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, with mayonnaise",100,304.91999999999996,12.38,16.2,4.989,2.8,27.4,Cheese sandwich,3.0491999999999995,0.7641975308641976
939,"Cheese sandwich, reduced fat Cheddar cheese, on white bread, with mayonnaise",100,330.04,14.9,18.28,6.4,1.2,26.48,Cheese sandwich,3.3004000000000002,0.8150984682713348
940,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, with mayonnaise",100,328.12,15.92,18.48,6.348,2.8,24.53,Cheese sandwich,3.2812,0.8614718614718615
941,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, with mayonnaise",100,328.12,15.92,18.48,6.348,2.8,24.53,Cheese sandwich,3.2812,0.8614718614718615
942,"Cheese sandwich, American cheese, on white bread, with butter",100,330.86,10.77,19.22,9.447,1.2,28.7,Cheese sandwich,3.3086,0.5603537981269511
943,"Cheese sandwich, American cheese, on wheat bread, with butter",100,328.90000000000003,11.79,19.42,9.395,2.8,26.74,Cheese sandwich,3.289,0.6071060762100926
944,"Cheese sandwich, American cheese, on whole wheat bread, with butter",100,328.90000000000003,11.79,19.42,9.395,2.8,26.74,Cheese sandwich,3.289,0.6071060762100926
945,"Cheese sandwich, Cheddar cheese, on white bread, with butter",100,367.65999999999997,13.38,23.18,11.717,1.2,26.38,Cheese sandwich,3.6765999999999996,0.5772217428817947
946,"Cheese sandwich, Cheddar cheese, on wheat bread, with butter",100,365.7,14.4,23.38,11.665,2.8,24.42,Cheese sandwich,3.657,0.6159110350727117
947,"Cheese sandwich, Cheddar cheese, on whole wheat bread, with butter",100,365.7,14.4,23.38,11.665,2.8,24.42,Cheese sandwich,3.657,0.6159110350727117
948,"Cheese sandwich, reduced fat American cheese, on white bread, with butter",100,306.41999999999996,11.32,15.98,7.97,1.2,29.33,Cheese sandwich,3.0641999999999996,0.7083854818523154
949,"Cheese sandwich, reduced fat American cheese, on wheat bread, with butter",100,304.5,12.34,16.18,7.917,2.8,27.38,Cheese sandwich,3.045,0.7626699629171817
950,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, with butter",100,304.5,12.34,16.18,7.917,2.8,27.38,Cheese sandwich,3.045,0.7626699629171817
951,"Cheese sandwich, reduced fat Cheddar cheese, on white bread, with butter",100,329.58000000000004,14.85,18.26,9.328,1.2,26.46,Cheese sandwich,3.2958000000000003,0.8132530120481927
952,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, with butter",100,327.62,15.87,18.46,9.276,2.8,24.5,Cheese sandwich,3.2762000000000002,0.8596966413867821
953,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, with butter",100,327.62,15.87,18.46,9.276,2.8,24.5,Cheese sandwich,3.2762000000000002,0.8596966413867821
954,"Grilled cheese sandwich, NFS",100,330.86,10.77,19.22,9.447,1.2,28.7,Grilled cheese sandwich,3.3086,0.5603537981269511
955,"Grilled cheese sandwich, American cheese, on white bread",100,330.86,10.77,19.22,9.447,1.2,28.7,Grilled cheese sandwich,3.3086,0.5603537981269511
956,"Grilled cheese sandwich, American cheese, on wheat bread",100,328.90000000000003,11.79,19.42,9.395,2.8,26.74,Grilled cheese sandwich,3.289,0.6071060762100926
957,"Grilled cheese sandwich, American cheese, on whole wheat bread",100,328.90000000000003,11.79,19.42,9.395,2.8,26.74,Grilled cheese sandwich,3.289,0.6071060762100926
958,"Grilled cheese sandwich, Cheddar cheese, on white bread",100,367.65999999999997,13.38,23.18,11.717,1.2,26.38,Grilled cheese sandwich,3.6765999999999996,0.5772217428817947
959,"Grilled cheese sandwich, Cheddar cheese, on wheat bread",100,365.7,14.4,23.38,11.665,2.8,24.42,Grilled cheese sandwich,3.657,0.6159110350727117
960,"Grilled cheese sandwich, Cheddar cheese, on whole wheat bread",100,365.7,14.4,23.38,11.665,2.8,24.42,Grilled cheese sandwich,3.657,0.6159110350727117
961,"Grilled cheese sandwich, reduced fat American cheese, on white bread",100,306.41999999999996,11.32,15.98,7.97,1.2,29.33,Grilled cheese sandwich,3.0641999999999996,0.7083854818523154
962,"Grilled cheese sandwich, reduced fat American cheese, on wheat bread",100,304.5,12.34,16.18,7.917,2.8,27.38,Grilled cheese sandwich,3.045,0.7626699629171817
963,"Grilled cheese sandwich, reduced fat American cheese, on whole wheat bread",100,304.5,12.34,16.18,7.917,2.8,27.38,Grilled cheese sandwich,3.045,0.7626699629171817
964,"Grilled cheese sandwich, reduced fat Cheddar cheese, on white bread",100,329.58000000000004,14.85,18.26,9.328,1.2,26.46,Grilled cheese sandwich,3.2958000000000003,0.8132530120481927
965,"Grilled cheese sandwich, reduced fat Cheddar cheese, on wheat bread",100,327.62,15.87,18.46,9.276,2.8,24.5,Grilled cheese sandwich,3.2762000000000002,0.8596966413867821
966,"Grilled cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread",100,327.62,15.87,18.46,9.276,2.8,24.5,Grilled cheese sandwich,3.2762000000000002,0.8596966413867821
967,Cheese sauce,100,160.77999999999997,3.24,13.02,3.097,0.3,7.66,Cheese sauce,1.6077999999999997,0.24884792626728114
968,Alfredo sauce,100,151.47999999999996,2.37,15.12,9.518,0.0,1.48,Alfredo sauce,1.5147999999999997,0.15674603174603177
969,Alfredo sauce with added vegetables,100,123.16000000000001,2.28,11.64,7.295,0.3,2.32,Alfredo sauce with added vegetables,1.2316,0.19587628865979378
970,Alfredo sauce with meat,100,170.64000000000001,6.72,15.44,8.943,0.0,1.2,Alfredo sauce with meat,1.7064000000000001,0.43523316062176165
971,Alfredo sauce with meat and added vegetables,100,147.57,6.64,12.61,7.137,0.3,1.88,Alfredo sauce with meat and added vegetables,1.4757,0.5265662172878668
972,Alfredo sauce with poultry,100,155.51000000000002,7.1,13.59,8.062,0.0,1.2,Alfredo sauce with poultry,1.5551000000000001,0.5224429727740986
973,Alfredo sauce with poultry and added vegetables,100,132.48000000000002,7.03,10.76,6.256,0.3,1.88,Alfredo sauce with poultry and added vegetables,1.3248000000000002,0.6533457249070632
974,Alfredo sauce with seafood,100,144.52,6.11,12.56,7.78,0.0,1.76,Alfredo sauce with seafood,1.4452,0.4864649681528663
975,Alfredo sauce with seafood and added vegetables,100,121.53999999999999,6.04,9.74,5.974,0.3,2.43,Alfredo sauce with seafood and added vegetables,1.2153999999999998,0.6201232032854209
976,"Mozzarella sticks, breaded, baked, or fried",100,324.53,14.75,18.33,6.848,2.0,25.14,Mozzarella sticks,3.2453,0.8046917621385707
977,"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing",100,141.95,7.17,10.87,4.18,0.8,3.86,Mozzarella cheese,1.4195,0.6596136154553818
978,"Cheddar cheese soup, home recipe, canned or ready-to-serve",100,67.44999999999999,2.06,2.97,1.814,1.1,8.12,Cheddar cheese soup,0.6744999999999999,0.6936026936026936
979,"Beer cheese soup, made with milk",100,189.70999999999998,6.19,15.43,9.224,0.3,6.52,Beer cheese soup,1.8970999999999998,0.4011665586519767
980,"Meat, NFS",100,193.3,29.65,8.3,3.22,0.0,0.0,Meat,1.933,3.5722891566265056
981,"Meat, baby food, NS as to type, NS as to strained or junior",100,103.37,12.86,5.21,1.605,0.0,1.26,Meat,1.0337,2.468330134357006
982,"Meat sticks, baby food, NS as to type of meat",100,189.4,13.4,14.6,5.82,0.2,1.1,Meat sticks,1.8940000000000001,0.9178082191780822
983,"Ground meat, NFS",100,253.54,25.54,16.82,6.453,0.0,0.0,Ground meat,2.5354,1.5184304399524375
984,"Beef, NS as to cut, cooked, NS as to fat eaten",100,177.67000000000002,29.23,6.75,2.643,0.0,0.0,Beef,1.7767000000000002,4.33037037037037
985,"Beef, NS as to cut, cooked, lean and fat eaten",100,229.2,27.06,13.44,5.576,0.0,0.0,Beef,2.292,2.013392857142857
986,"Beef, NS as to cut, cooked, lean only eaten",100,177.67000000000002,29.23,6.75,2.643,0.0,0.0,Beef,1.7767000000000002,4.33037037037037
987,"Steak, NS as to type of meat, cooked, NS as to fat eaten",100,177.67000000000002,29.23,6.75,2.643,0.0,0.0,Steak,1.7767000000000002,4.33037037037037
988,"Steak, NS as to type of meat, cooked, lean and fat eaten",100,229.2,27.06,13.44,5.576,0.0,0.0,Steak,2.292,2.013392857142857
989,"Steak, NS as to type of meat, cooked, lean only eaten",100,177.67000000000002,29.23,6.75,2.643,0.0,0.0,Steak,1.7767000000000002,4.33037037037037
990,"Beef, pickled",100,245.38,18.17,18.98,6.34,0.0,0.47,Beef,2.4537999999999998,0.9573234984193889
991,"Beef, NS as to cut, fried, NS to fat eaten",100,177.67000000000002,29.23,6.75,2.643,0.0,0.0,Beef,1.7767000000000002,4.33037037037037
992,"Beef steak, NS as to cooking method, NS as to fat eaten",100,177.67000000000002,29.23,6.75,2.643,0.0,0.0,Beef steak,1.7767000000000002,4.33037037037037
993,"Beef steak, NS as to cooking method, lean and fat eaten",100,229.2,27.06,13.44,5.576,0.0,0.0,Beef steak,2.292,2.013392857142857
994,"Beef steak, NS as to cooking method, lean only eaten",100,177.67000000000002,29.23,6.75,2.643,0.0,0.0,Beef steak,1.7767000000000002,4.33037037037037
995,"Beef steak, broiled or baked, NS as to fat eaten",100,177.67000000000002,29.23,6.75,2.643,0.0,0.0,Beef steak,1.7767000000000002,4.33037037037037
996,"Beef steak, broiled or baked, lean and fat eaten",100,229.2,27.06,13.44,5.576,0.0,0.0,Beef steak,2.292,2.013392857142857
997,"Beef steak, broiled or baked, lean only eaten",100,177.67000000000002,29.23,6.75,2.643,0.0,0.0,Beef steak,1.7767000000000002,4.33037037037037
998,"Beef steak, fried, NS as to fat eaten",100,177.67000000000002,29.23,6.75,2.643,0.0,0.0,Beef steak,1.7767000000000002,4.33037037037037
999,"Beef steak, fried, lean and fat eaten",100,229.2,27.06,13.44,5.576,0.0,0.0,Beef steak,2.292,2.013392857142857
1000,"Beef steak, fried, lean only eaten",100,177.67000000000002,29.23,6.75,2.643,0.0,0.0,Beef steak,1.7767000000000002,4.33037037037037
1001,"Beef steak, breaded or floured, baked or fried, NS as to fat eaten",100,247.99,25.02,11.03,3.129,0.7,12.16,Beef steak,2.4799,2.2683590208522215
1002,"Beef steak, breaded or floured, baked or fried, lean and fat eaten",100,267.52,24.39,13.48,4.241,0.7,12.16,Beef steak,2.6752,1.8093471810089021
1003,"Beef steak, breaded or floured, baked or fried, lean only eaten",100,247.99,25.02,11.03,3.129,0.7,12.16,Beef steak,2.4799,2.2683590208522215
1004,"Beef steak, battered, fried, NS as to fat eaten",100,230.74999999999997,21.2,11.79,3.894,0.3,9.96,Beef steak,2.3074999999999997,1.79813401187447
1005,"Beef steak, battered, fried, lean and fat eaten",100,251.32,19.86,14.2,4.86,0.4,11.02,Beef steak,2.5132,1.3985915492957748
1006,"Beef steak, battered, fried, lean only eaten",100,235.95999999999998,20.34,12.28,3.992,0.4,11.02,Beef steak,2.3596,1.6563517915309447
1007,"Beef steak, braised, NS as to fat eaten",100,241.91,30.8,13.19,5.117,0.0,0.0,Beef steak,2.4191,2.3351023502653527
1008,"Beef steak, braised, lean and fat eaten",100,241.91,30.8,13.19,5.117,0.0,0.0,Beef steak,2.4191,2.3351023502653527
1009,"Beef steak, braised, lean only eaten",100,163.82,28.94,5.34,2.15,0.0,0.0,Beef steak,1.6381999999999999,5.419475655430712
1010,"Beef, oxtails, cooked",100,241.91,30.8,13.19,5.117,0.0,0.0,Beef,2.4191,2.3351023502653527
1011,"Beef, neck bones, cooked",100,291.02,29.87,19.06,7.557,0.0,0.0,Beef,2.9101999999999997,1.5671563483735573
1012,"Beef, shortribs, cooked, NS as to fat eaten",100,283.82,30.5,17.98,7.676,0.0,0.0,Beef,2.8382,1.6963292547274749
1013,"Beef, shortribs, cooked, lean and fat eaten",100,460.23,21.39,41.63,17.652,0.0,0.0,Beef,4.6023000000000005,0.5138121546961326
1014,"Beef, shortribs, cooked, lean only eaten",100,283.82,30.5,17.98,7.676,0.0,0.0,Beef,2.8382,1.6963292547274749
1015,"Beef, shortribs, barbecued, with sauce, NS as to fat eaten",100,392.16999999999996,15.98,30.81,12.993,0.3,12.74,Beef,3.9216999999999995,0.5186627718273288
1016,"Beef, shortribs, barbecued, with sauce, lean and fat eaten",100,392.16999999999996,15.98,30.81,12.993,0.3,12.74,Beef,3.9216999999999995,0.5186627718273288
1017,"Beef, shortribs, barbecued, with sauce, lean only eaten",100,262.46,22.68,13.42,5.658,0.3,12.74,Beef,2.6245999999999996,1.6900149031296572
1018,"Beef, cow head, cooked",100,251.60999999999999,25.89,16.45,6.726,0.0,0.0,Beef,2.5161,1.5738601823708207
1019,"Beef, roast, roasted, NS as to fat eaten",100,158.74,28.57,4.94,1.781,0.0,0.0,Beef,1.5874000000000001,5.783400809716599
1020,"Beef, roast, roasted, lean and fat eaten",100,158.65,29.65,4.45,1.657,0.0,0.0,Beef,1.5865,6.662921348314606
1021,"Beef, roast, roasted, lean only eaten",100,149.91,29.13,3.71,1.368,0.0,0.0,Beef,1.4990999999999999,7.8517520215633425
1022,"Beef, roast, canned",100,211.86,27.45,11.34,4.24,0.0,0.0,Beef,2.1186000000000003,2.4206349206349205
1023,"Beef, pot roast, braised or boiled, NS as to fat eaten",100,241.91,30.8,13.19,5.117,0.0,0.0,Beef,2.4191,2.3351023502653527
1024,"Beef, pot roast, braised or boiled, lean and fat eaten",100,155.42000000000002,29.09,4.34,1.679,0.0,0.0,Beef,1.5542000000000002,6.702764976958526
1025,"Beef, pot roast, braised or boiled, lean only eaten",100,241.91,30.8,13.19,5.117,0.0,0.0,Beef,2.4191,2.3351023502653527
1026,"Beef, stew meat, cooked, NS as to fat eaten",100,241.91,30.8,13.19,5.117,0.0,0.0,Beef,2.4191,2.3351023502653527
1027,"Beef, stew meat, cooked, lean and fat eaten",100,226.64999999999998,34.05,10.05,3.749,0.0,0.0,Beef,2.2664999999999997,3.3880597014925367
1028,"Beef, stew meat, cooked, lean only eaten",100,241.91,30.8,13.19,5.117,0.0,0.0,Beef,2.4191,2.3351023502653527
1029,"Corned beef, cooked, NS as to fat eaten",100,245.38,18.17,18.98,6.34,0.0,0.47,Corned beef,2.4537999999999998,0.9573234984193889
1030,"Corned beef, cooked, lean and fat eaten",100,245.38,18.17,18.98,6.34,0.0,0.47,Corned beef,2.4537999999999998,0.9573234984193889
1031,"Corned beef, cooked, lean only eaten",100,242.77,27.1,14.93,6.18,0.0,0.0,Corned beef,2.4277,1.8151373074346955
1032,"Corned beef, canned, ready-to-eat",100,242.77,27.1,14.93,6.18,0.0,0.0,Corned beef,2.4277,1.8151373074346955
1033,"Beef brisket, cooked, NS as to fat eaten",100,208.0,29.5,10.0,3.6,0.0,0.0,Beef brisket,2.08,2.95
1034,"Beef brisket, cooked, lean and fat eaten",100,280.52,26.57,19.36,7.467,0.0,0.0,Beef brisket,2.8051999999999997,1.3724173553719008
1035,"Beef brisket, cooked, lean only eaten",100,208.0,29.5,10.0,3.6,0.0,0.0,Beef brisket,2.08,2.95
1036,"Beef, sandwich steak, flaked, formed, thinly sliced",100,323.93,18.41,27.81,11.69,0.0,0.0,Beef,3.2393,0.6619920891765553
1037,"Ground beef, raw",100,241.39,17.44,19.07,7.291,0.0,0.0,Ground beef,2.4139,0.9145254326166754
1038,"Ground beef, cooked",100,253.54,25.54,16.82,6.453,0.0,0.0,Ground beef,2.5354,1.5184304399524375
1039,"Ground beef patty, cooked",100,265.42,25.45,18.18,6.95,0.0,0.0,Ground beef patty,2.6542000000000003,1.3998899889988998
1040,"Beef, bacon, cooked",100,440.4,31.3,34.4,14.35,0.0,1.4,Beef,4.404,0.9098837209302326
1041,"Beef, bacon, reduced sodium, cooked",100,529.9,37.04,41.78,13.739,0.0,1.43,Beef,5.2989999999999995,0.8865485878410723
1042,"Beef, dried, chipped, uncooked",100,152.9,31.1,1.94,0.95,0.0,2.76,Beef,1.5290000000000001,16.030927835051546
1043,"Beef, dried, chipped, cooked in fat",100,224.36,28.12,11.32,4.61,0.0,2.5,Beef,2.2436000000000003,2.4840989399293285
1044,Beef jerky,100,407.20000000000005,33.2,25.6,10.85,1.8,11.0,Beef jerky,4.072,1.296875
1045,"Beef, baby food, NS as to strained or junior",100,80.52,12.03,2.52,1.18,0.0,2.43,Beef,0.8051999999999999,4.773809523809524
1046,"Beef, baby food, strained",100,80.52,12.03,2.52,1.18,0.0,2.43,Beef,0.8051999999999999,4.773809523809524
1047,"Beef, baby food, junior",100,80.52,12.03,2.52,1.18,0.0,2.43,Beef,0.8051999999999999,4.773809523809524
1048,"Pork, NS as to cut, cooked, NS as to fat eaten",100,205.26,27.69,10.5,3.274,0.0,0.0,Pork,2.0526,2.6371428571428575
1049,"Pork, NS as to cut, cooked, lean and fat eaten",100,205.26,27.69,10.5,3.274,0.0,0.0,Pork,2.0526,2.6371428571428575
1050,"Pork, NS as to cut, cooked, lean only eaten",100,157.83,29.13,4.55,1.537,0.0,0.09,Pork,1.5783,6.4021978021978025
1051,"Pork, NS as to cut, fried, NS as to fat eaten",100,205.26,27.69,10.5,3.274,0.0,0.0,Pork,2.0526,2.6371428571428575
1052,"Pork, NS as to cut, fried, lean and fat eaten",100,205.26,27.69,10.5,3.274,0.0,0.0,Pork,2.0526,2.6371428571428575
1053,"Pork, NS as to cut, fried, lean only eaten",100,157.83,29.13,4.55,1.537,0.0,0.09,Pork,1.5783,6.4021978021978025
1054,"Pork, NS as to cut, breaded or floured, fried, NS as to fat eaten",100,265.93,25.0,11.21,2.48,1.0,16.26,Pork,2.6593,2.230151650312221
1055,"Pork, NS as to cut, breaded or floured, fried, lean and fat eaten",100,299.64,23.97,15.44,3.715,1.0,16.2,Pork,2.9964,1.552461139896373
1056,"Pork, NS as to cut, breaded or floured, fried, lean only eaten",100,265.93,25.0,11.21,2.48,1.0,16.26,Pork,2.6593,2.230151650312221
1057,"Pork, pickled, NS as to cut",100,136.73999999999998,11.63,10.02,2.945,0.0,0.01,Pork,1.3673999999999997,1.160678642714571
1058,"Pork, ground or patty, cooked",100,287.32,25.48,20.6,7.656,0.0,0.0,Pork,2.8731999999999998,1.236893203883495
1059,"Pork, ground or patty, breaded, cooked",100,327.8,20.3,22.72,6.628,0.6,10.53,Pork,3.278,0.8934859154929579
1060,Pork jerky,100,407.20000000000005,33.2,25.6,10.85,1.8,11.0,Pork jerky,4.072,1.296875
1061,"Pork chop, NS as to cooking method, NS as to fat eaten",100,205.26,27.69,10.5,3.274,0.0,0.0,Pork chop,2.0526,2.6371428571428575
1062,"Pork chop, NS as to cooking method, lean and fat eaten",100,205.26,27.69,10.5,3.274,0.0,0.0,Pork chop,2.0526,2.6371428571428575
1063,"Pork chop, NS as to cooking method, lean only eaten",100,157.83,29.13,4.55,1.537,0.0,0.09,Pork chop,1.5783,6.4021978021978025
1064,"Pork chop, broiled or baked, NS as to fat eaten",100,205.26,27.69,10.5,3.274,0.0,0.0,Pork chop,2.0526,2.6371428571428575
1065,"Pork chop, broiled or baked, lean and fat eaten",100,205.26,27.69,10.5,3.274,0.0,0.0,Pork chop,2.0526,2.6371428571428575
1066,"Pork chop, broiled or baked, lean only eaten",100,157.83,29.13,4.55,1.537,0.0,0.09,Pork chop,1.5783,6.4021978021978025
1067,"Pork chop, breaded or floured, broiled or baked, NS as to fat eaten",100,234.10999999999999,26.78,10.19,3.121,0.6,8.82,Pork chop,2.3411,2.628066732090285
1068,"Pork chop, breaded or floured, broiled or baked, lean and fat eaten",100,234.10999999999999,26.78,10.19,3.121,0.6,8.82,Pork chop,2.3411,2.628066732090285
1069,"Pork chop, breaded or floured, broiled or baked, lean only eaten",100,190.98,28.09,4.78,1.543,0.6,8.9,Pork chop,1.9098,5.876569037656903
1070,"Pork chop, fried, NS as to fat eaten",100,205.26,27.69,10.5,3.274,0.0,0.0,Pork chop,2.0526,2.6371428571428575
1071,"Pork chop, fried, lean and fat eaten",100,205.26,27.69,10.5,3.274,0.0,0.0,Pork chop,2.0526,2.6371428571428575
1072,"Pork chop, fried, lean only eaten",100,157.83,29.13,4.55,1.537,0.0,0.09,Pork chop,1.5783,6.4021978021978025
1073,"Pork chop, breaded or floured, fried, NS as to fat eaten",100,299.64,23.97,15.44,3.715,1.0,16.2,Pork chop,2.9964,1.552461139896373
1074,"Pork chop, breaded or floured, fried, lean and fat eaten",100,299.64,23.97,15.44,3.715,1.0,16.2,Pork chop,2.9964,1.552461139896373
1075,"Pork chop, breaded or floured, fried, lean only eaten",100,265.93,25.0,11.21,2.48,1.0,16.26,Pork chop,2.6593,2.230151650312221
1076,"Pork chop, battered, fried, NS as to fat eaten",100,276.39,22.6,14.99,4.234,0.4,12.77,Pork chop,2.7639,1.5076717811874585
1077,"Pork chop, battered, fried, lean and fat eaten",100,276.39,22.6,14.99,4.234,0.4,12.77,Pork chop,2.7639,1.5076717811874585
1078,"Pork chop, battered, fried, lean only eaten",100,241.22,23.67,10.58,2.947,0.4,12.83,Pork chop,2.4122,2.2372400756143667
1079,"Pork chop, stewed, NS as to fat eaten",100,205.26,27.69,10.5,3.274,0.0,0.0,Pork chop,2.0526,2.6371428571428575
1080,"Pork chop, stewed, lean and fat eaten",100,205.26,27.69,10.5,3.274,0.0,0.0,Pork chop,2.0526,2.6371428571428575
1081,"Pork chop, stewed, lean only eaten",100,157.83,29.13,4.55,1.537,0.0,0.09,Pork chop,1.5783,6.4021978021978025
